Driver_ID,Total_Trips,Total_Harsh_Acceleration,Total_Harsh_Braking,Total_Sudden_Turns,Total_High_Speed_Events,Avg_Risk_Events_Per_10_Min,Avg_Speed,Max_Speed,Avg_Acceleration,Max_Acceleration,Avg_Gyro,Max_Gyro,Driver_Name,Age,Gender,License_Experience_Years,Home_Hub
D12,15,28,28,29,34,3.665948587696555,24.80958792427085,64.5,1.0299072280773574,1.8057067868289136,5.5918884011484495,56.53298948401721,Praveen Murugan,44,Female,7,HSR Layout
D13,15,15,24,22,19,1.7816015533495209,24.292018944729715,61.8,1.0235825892920565,1.7793296490532606,5.060377408130709,55.290981181382556,Meena Kannan,39,Female,14,Electronic City
D14,15,50,53,28,57,4.758272551342645,25.443474951917118,65.5,1.0397464497789037,1.9676384322329141,5.219132562026325,50.0626347688573,Rajesh Subramaniam,31,Male,2,Rajajinagar
D15,15,20,19,27,21,1.897858628874889,22.54312034319941,52.5,1.0180099988259348,1.6830561487959932,5.3835184554308215,49.4796220680797,Meena Velu,24,Male,7,Bellandur
D16,15,12,9,13,0,0.6756588043258491,25.171805414213694,39.9,1.0127457431581803,1.730640921739689,4.141685374532335,46.14554908114108,Sathish Chandran,34,Male,7,Bommanahalli
D17,15,16,14,16,19,1.4606900252061543,25.26444778339402,52.0,1.0222446747873095,1.7812282279371163,4.725838695720047,53.774415849918825,Arun Subramaniam,32,Male,11,Electronic City
D18,15,6,4,9,0,0.4512820512820513,25.257336669957724,40.1,1.0116092403648638,1.6492522548112523,4.000309510500006,54.995481632585054,Revathi Raj,35,Male,9,Yeshwanthpur
D19,15,30,43,27,55,4.395852422696793,24.56800090079989,63.3,1.0526821423583563,1.8790348586441923,6.082009214674112,52.62675080222985,Senthil Pillai,39,Male,1,Attibele
D20,15,11,13,20,9,1.5810877108947552,24.507598674696585,49.9,1.0208136477692433,1.4818846108924946,5.291421090947128,55.589093354722024,Sathish Iyer,24,Male,3,Attibele
D21,15,22,14,27,23,1.7843449650884438,24.831459508021947,59.5,1.016582922470275,1.7653540721339727,4.616771213065164,56.30117050293005,Vignesh Raj,28,Male,13,MG Road
D22,15,7,9,13,1,0.7391088399813062,22.79056786050373,42.8,1.00975078437826,1.8381297560292094,4.009432493826571,51.41355755051385,Priya Iyer,35,Male,3,MG Road
D23,15,53,50,33,63,4.332189946392845,24.719033028002592,70.2,1.035045822562771,1.67208283287641,5.440043258171122,57.61953314632114,Kavya Pillai,32,Male,11,Yeshwanthpur
D24,15,53,54,37,76,4.603617230167771,26.645238718469603,69.3,1.0319416019667869,1.776017173340393,5.482868133816794,55.51087641174475,Lakshmi Iyer,32,Female,3,Bellandur
D25,15,16,17,23,20,1.6060907479495443,23.20072252761217,51.1,1.0338012150382907,1.7782930017294676,5.247288591995417,58.206042641636444,Deepa Pillai,40,Male,4,Rajajinagar
D26,15,18,16,12,2,1.2048428931502488,24.83446168403142,43.3,1.0159663932744942,1.8646045157083577,3.8495106298799286,48.42572250364469,Anitha Chandran,31,Male,6,Attibele
D27,15,15,11,22,12,1.64144150043503,22.956232614783158,51.3,1.0186284038059326,1.708688385867944,4.807961576631216,53.646614059043834,Arun Chandran,34,Male,2,Rajajinagar
D28,15,6,7,9,1,0.6382879382447424,21.94874236063375,42.1,1.0183314878005059,1.687835892496661,4.445883091232119,54.48282756979487,Praveen Iyer,37,Male,4,MG Road
D29,15,15,11,10,5,1.0633573543377464,26.396562584140554,47.0,1.0118105793092125,1.7737626673261562,3.8424628229309623,48.93193946697801,Rajesh Subramaniam,43,Male,11,Attibele
D30,15,21,20,16,9,1.5722859790317472,22.373925471578232,58.0,1.013370448552734,1.7384631143627984,4.274062123896622,56.05587480362785,Gokul Velu,26,Male,2,Bellandur
